,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,0.3,0.15,0.15,100,800,166.52667370204765,1332.2133896163812,0.6005043983459473,1,100,800,1.089083194732666,0.0,0.0,0.0,10,80,1.7655048370361328
1,0.42,0.21,0.21,100,800,170.9592507359193,1367.6740058873545,1.185439109802246,2,200,1600,2.195720911026001,2.0,1.0,1.0,10,80,3.5241899490356445
2,1.54,0.77,0.77,100,800,174.5998523043928,1396.7988184351425,1.7581772804260254,3,300,2400,3.3205528259277344,4.0,2.0,2.0,10,80,5.281731605529785
3,3.9,1.95,1.95,100,800,175.84381304386469,1406.7505043509175,2.3268637657165527,4,400,3200,4.48989462852478,6.0,3.0,3.0,10,80,7.079763412475586
4,5.42,2.71,2.71,100,800,168.01719627905337,1344.137570232427,2.9220409393310547,5,500,4000,5.683833360671997,6.0,3.0,3.0,10,80,8.936944723129272
5,5.68,2.84,2.84,100,800,164.78888788920892,1318.3111031136714,3.5288779735565186,6,600,4800,6.877679824829102,8.0,4.0,4.0,10,80,10.805647611618042
6,6.3,3.15,3.15,100,800,184.99839670855513,1479.987173668441,4.069423198699951,7,700,5600,7.977753162384033,10.0,5.0,5.0,10,80,12.519290447235107
7,8.06,4.03,4.03,100,800,166.3786390706003,1331.0291125648023,4.670461893081665,8,800,6400,9.159566640853882,4.0,2.0,2.0,10,80,14.38086199760437
8,4.88,2.44,2.44,100,800,156.35429387705196,1250.8343510164157,5.310034990310669,9,900,7200,10.364121198654175,6.0,3.0,3.0,10,80,16.28257918357849
9,6.28,3.14,3.14,100,800,153.20315296558476,1225.625223724678,5.962763071060181,10,1000,8000,11.576083660125732,8.0,4.0,4.0,10,80,18.226039171218872
10,6.68,3.34,3.34,100,800,147.94336937942361,1183.546955035389,6.638697385787964,11,1100,8800,12.76538896560669,10.0,5.0,5.0,10,80,20.169902086257935
11,7.38,3.69,3.69,100,800,186.82402577040395,1494.5922061632316,7.173960447311401,12,1200,9600,13.873632192611694,12.0,6.0,6.0,10,80,21.873152256011963
12,8.56,4.28,4.28,100,800,178.4434342553377,1427.5474740427017,7.7343621253967285,13,1300,10400,15.04782247543335,12.0,6.0,6.0,10,80,23.668668270111084
13,9.44,4.72,4.72,100,800,169.9620186328734,1359.6961490629872,8.322728872299194,14,1400,11200,16.261528491973877,12.0,6.0,6.0,10,80,25.542287826538086
14,8.84,4.42,4.42,100,800,175.75428700011187,1406.034296000895,8.89170503616333,15,1500,12000,17.38218855857849,8.0,4.0,4.0,10,80,27.295127153396606
15,6.4,3.2,3.2,100,800,161.40530189916478,1291.2424151933183,9.511263370513916,16,1600,12800,18.495803833007812,2.0,1.0,1.0,10,80,29.091181755065918
16,4.36,2.18,2.18,100,800,175.35830036022355,1402.8664028817884,10.08152437210083,17,1700,13600,19.626732349395752,8.0,4.0,4.0,10,80,30.868710041046143
17,6.98,3.49,3.49,100,800,179.02800898063018,1432.2240718450414,10.640096187591553,18,1800,14400,20.854172468185425,12.0,6.0,6.0,10,80,32.71569466590881
18,9.28,4.64,4.64,100,800,147.19175056000051,1177.5340044800041,11.31948208808899,19,1900,15200,22.016615867614746,8.0,4.0,4.0,10,80,34.61959958076477
19,6.32,3.16,3.16,100,800,183.84507287960116,1470.7605830368093,11.863418340682983,20,2000,16000,23.21435022354126,12.0,6.0,6.0,10,80,36.425804138183594
20,9.56,4.78,4.78,100,800,185.43827064155488,1483.506165132439,12.402681350708008,21,2100,16800,24.33155870437622,14.0,7.0,7.0,10,80,38.134761810302734
21,11.26,5.63,5.63,100,800,190.36100614430262,1522.888049154421,12.927999019622803,22,2200,17600,25.397796869277954,16.0,8.0,8.0,10,80,39.77854323387146
22,11.58,5.79,5.79,100,800,195.0217721330646,1560.1741770645167,13.440762281417847,23,2300,18400,26.621923446655273,16.0,8.0,8.0,10,80,41.59318995475769
23,12.6,6.3,6.3,100,800,171.02421974326208,1368.1937579460966,14.025474786758423,24,2400,19200,27.815876722335815,14.0,7.0,7.0,10,80,43.45169162750244
24,11.08,5.54,5.54,100,800,157.36522030472014,1258.9217624377611,14.66093921661377,25,2500,20000,29.062429666519165,16.0,8.0,8.0,10,80,45.386991024017334
25,11.92,5.96,5.96,100,800,162.3795984861155,1299.036787888924,15.276780128479004,26,2600,20800,30.23186945915222,16.0,8.0,8.0,10,80,47.25271224975586
26,12.32,6.16,6.16,100,800,173.88764952362632,1391.1011961890106,15.851864099502563,27,2700,21600,31.382704973220825,12.0,6.0,6.0,10,80,49.03011655807495
27,9.34,4.67,4.67,100,800,177.7108150420412,1421.6865203363295,16.414576053619385,28,2800,22400,32.67700743675232,16.0,8.0,8.0,10,80,50.94184064865112
28,12.98,6.49,6.49,100,800,169.80781609939962,1358.462528795197,17.003477096557617,29,2900,23200,33.944053173065186,10.0,5.0,5.0,10,80,52.849242210388184
29,7.9,3.95,3.95,100,800,184.6768103862389,1477.4144830899113,17.544963598251343,30,3000,24000,35.27069926261902,16.0,8.0,8.0,10,80,54.76859736442566
30,12.7,6.35,6.35,100,800,171.51411781110852,1372.1129424888682,18.128005981445312,31,3100,24800,36.64896893501282,16.0,8.0,8.0,10,80,56.7901337146759
31,12.9,6.45,6.45,100,800,181.66982927132463,1453.358634170597,18.678455114364624,32,3200,25600,37.97514510154724,16.0,8.0,8.0,10,80,58.735506772994995
32,12.9,6.45,6.45,100,800,157.628216788105,1261.02573430484,19.312859296798706,33,3300,26400,39.073835134506226,16.0,8.0,8.0,10,80,60.54113793373108
33,12.94,6.47,6.47,100,800,168.07597413083892,1344.6077930467113,19.907828330993652,34,3400,27200,40.528202295303345,16.0,8.0,8.0,10,80,62.651633739471436
34,13.1,6.55,6.55,100,800,165.7823736386396,1326.2589891091168,20.51102876663208,35,3500,28000,41.63148522377014,16.0,8.0,8.0,10,80,64.4096109867096
35,12.72,6.36,6.36,100,800,188.7592431996018,1510.0739455968144,21.040804147720337,36,3600,28800,43.06833600997925,16.0,8.0,8.0,10,80,66.42929005622864
36,13.18,6.59,6.59,100,800,194.81687194343382,1558.5349755474706,21.55410671234131,37,3700,29600,44.43495798110962,16.0,8.0,8.0,10,80,68.36158609390259
37,12.88,6.44,6.44,100,800,171.6931508239978,1373.5452065919824,22.13654112815857,38,3800,30400,45.62932825088501,16.0,8.0,8.0,10,80,70.21309113502502
38,13.28,6.64,6.64,100,800,169.24704646168573,1353.9763716934858,22.72739338874817,39,3900,31200,46.73917770385742,16.0,8.0,8.0,10,80,71.98912477493286
39,13.14,6.57,6.57,100,800,162.1904094953011,1297.523275962409,23.343952655792236,40,4000,32000,47.83622479438782,16.0,8.0,8.0,10,80,73.75397253036499
40,13.34,6.67,6.67,100,800,177.63487455922723,1421.0789964738178,23.90690517425537,41,4100,32800,48.992412090301514,16.0,8.0,8.0,10,80,75.52536702156067
41,13.16,6.58,6.58,100,800,168.66025745163734,1349.2820596130987,24.499813079833984,42,4200,33600,50.14655804634094,16.0,8.0,8.0,10,80,77.32355546951294
