,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,0.06,0.03,0.03,100,1000,84.35385587235456,843.5385587235455,1.1854822635650635,1,100,1000,4.9579918384552,0.0,0.0,0.0,10,100,6.248253345489502
1,0.0,0.0,0.0,100,1000,109.27020401357832,1092.7020401357834,2.100644826889038,2,200,2000,7.842367887496948,6.0,3.0,3.0,10,100,10.14797830581665
2,5.7,2.85,2.85,100,1000,111.49011932618491,1114.9011932618491,2.9975852966308594,3,300,3000,10.436727046966553,20.0,10.0,10.0,10,100,13.738161325454712
3,19.66,9.83,9.83,100,1000,110.55793973315662,1105.5793973315663,3.9020884037017822,4,400,4000,13.548434257507324,20.0,10.0,10.0,10,100,17.840120553970337
4,19.76,9.88,9.88,100,1000,114.28804986238198,1142.88049862382,4.77707052230835,5,500,5000,16.39393162727356,20.0,10.0,10.0,10,100,21.680274963378906
5,19.6,9.8,9.8,100,1000,110.03334865398621,1100.333486539862,5.685885906219482,6,600,6000,19.04611587524414,20.0,10.0,10.0,10,100,25.329877138137817
6,19.66,9.83,9.83,100,1000,109.404534507534,1094.04534507534,6.599924802780151,7,700,7000,21.56096386909485,20.0,10.0,10.0,10,100,28.886794805526733
7,19.66,9.83,9.83,100,1000,116.22920378235733,1162.2920378235733,7.460293769836426,8,800,8000,24.25360655784607,20.0,10.0,10.0,10,100,32.52136993408203
8,19.68,9.84,9.84,100,1000,112.14281799235056,1121.4281799235057,8.35201382637024,9,900,9000,27.12834668159485,20.0,10.0,10.0,10,100,36.37303400039673
9,19.64,9.82,9.82,100,1000,99.73769033858183,997.3769033858182,9.354643821716309,10,1000,10000,29.49333906173706,20.0,10.0,10.0,10,100,39.82162261009216
10,19.5,9.75,9.75,100,1000,114.237000354888,1142.3700035488798,10.230016946792603,11,1100,11000,32.698378562927246,20.0,10.0,10.0,10,100,43.98680567741394
11,19.56,9.78,9.78,100,1000,116.76002987548448,1167.6002987548447,11.086474418640137,12,1200,12000,35.492340087890625,20.0,10.0,10.0,10,100,47.729830265045166
12,19.62,9.81,9.81,100,1000,106.21217699936136,1062.1217699936135,12.0279860496521,13,1300,13000,38.629318952560425,20.0,10.0,10.0,10,100,51.950226068496704
13,19.66,9.83,9.83,100,1000,111.34397085834564,1113.4397085834564,12.926103830337524,14,1400,14000,41.71872591972351,20.0,10.0,10.0,10,100,56.05674743652344
14,19.64,9.82,9.82,100,1000,108.63204765374115,1086.3204765374114,13.84664249420166,15,1500,15000,44.97806119918823,20.0,10.0,10.0,10,100,60.32842993736267
15,19.74,9.87,9.87,100,1000,105.56355628264015,1055.6355628264016,14.793939113616943,16,1600,16000,48.36691188812256,20.0,10.0,10.0,10,100,64.7501323223114
16,19.66,9.83,9.83,100,1000,103.96011235008174,1039.6011235008175,15.755846500396729,17,1700,17000,51.77364420890808,20.0,10.0,10.0,10,100,69.21506261825562
17,19.76,9.88,9.88,100,1000,106.55669985757902,1065.5669985757902,16.694314002990723,18,1800,18000,54.54241585731506,20.0,10.0,10.0,10,100,73.01581072807312
18,19.7,9.85,9.85,100,1000,103.1949233942715,1031.949233942715,17.66335391998291,19,1900,19000,57.37753486633301,20.0,10.0,10.0,10,100,76.91525483131409
19,19.56,9.78,9.78,100,1000,102.62933748192678,1026.2933748192677,18.637734174728394,20,2000,20000,60.54967451095581,18.0,9.0,9.0,10,100,81.1585385799408
