,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,1.26,0.63,0.63,100,1000,96.856502274254,968.5650227425399,1.0324552059173584,1,100,1000,14.464954376220703,2.6,1.3,1.3,10,100,15.58657717704773
1,2.14,1.07,1.07,100,1000,121.5581031122879,1215.581031122879,1.855107069015503,2,200,2000,26.220839023590088,2.0,1.0,1.0,10,100,28.238245010375977
2,4.86,2.43,2.43,100,1000,122.13083941249832,1221.3083941249831,2.673901081085205,3,300,3000,39.95190787315369,8.0,4.0,4.0,10,100,42.88630700111389
3,2.78,1.39,1.39,100,1000,118.57205939141944,1185.7205939141945,3.517270088195801,4,400,4000,51.876200675964355,5.8,2.9,2.9,10,100,55.72891592979431
4,7.28,3.64,3.64,100,1000,118.40559814065305,1184.0559814065307,4.3618247509002686,5,500,5000,63.60178804397583,2.4,1.2,1.2,10,100,68.41160440444946
5,4.1,2.05,2.05,100,1000,112.29326712241114,1122.9326712241113,5.252350091934204,6,600,6000,76.60350203514099,1.8,0.9,0.9,10,100,82.38123917579651
6,5.96,2.98,2.98,100,1000,127.16778989062058,1271.6778989062059,6.038712739944458,7,700,7000,87.08237051963806,5.8,2.9,2.9,10,100,93.73277688026428
7,5.56,2.78,2.78,100,1000,114.98467393351494,1149.8467393351496,6.908393859863281,8,800,8000,99.35605144500732,4.8,2.4,2.4,10,100,106.94867587089539
8,5.06,2.53,2.53,100,1000,130.22626182088698,1302.2626182088698,7.67628812789917,9,900,9000,111.01426887512207,12.2,6.1,6.1,10,100,119.46357870101929
9,6.44,3.22,3.22,100,1000,133.5604396794145,1335.6043967941448,8.425012826919556,10,1000,10000,121.72033929824829,7.8,3.9,3.9,10,100,130.9988934993744
10,6.18,3.09,3.09,100,1000,127.43055249627595,1274.3055249627596,9.20975399017334,11,1100,11000,132.61382031440735,4.0,2.0,2.0,10,100,142.76477241516113
11,5.98,2.99,2.99,100,1000,127.57586320381398,1275.7586320381397,9.993601322174072,12,1200,12000,142.91963481903076,2.4,1.2,1.2,10,100,153.97203135490417
12,4.88,2.44,2.44,100,1000,125.25975179820128,1252.5975179820127,10.791942358016968,13,1300,13000,154.44921922683716,7.6,3.8,3.8,10,100,166.42728114128113
13,6.36,3.18,3.18,100,1000,136.35782589726634,1363.5782589726634,11.525306940078735,14,1400,14000,165.35314059257507,6.0,3.0,3.0,10,100,178.14060187339783
14,4.44,2.22,2.22,100,1000,118.64974271788358,1186.4974271788358,12.368123769760132,15,1500,15000,177.9739408493042,8.2,4.1,4.1,10,100,191.6799373626709
15,7.02,3.51,3.51,100,1000,125.80916666616675,1258.0916666616674,13.162978410720825,16,1600,16000,189.40354800224304,5.6,2.8,2.8,10,100,203.98644995689392
16,4.88,2.44,2.44,100,1000,129.8341932600074,1298.341932600074,13.933191537857056,17,1700,17000,200.49464201927185,4.8,2.4,2.4,10,100,215.9233729839325
17,3.5,1.75,1.75,100,1000,124.25748645975966,1242.5748645975966,14.737972021102905,18,1800,18000,213.50250887870789,7.8,3.9,3.9,10,100,229.8091197013855
