,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,2.24,1.12,1.12,100,1000,89.71523786504332,897.1523786504332,1.114637851715088,1,100,1000,3.996115207672119,2.0,1.0,1.0,10,100,5.263355016708374
1,2.74,1.37,1.37,100,1000,79.01646886036707,790.1646886036707,2.3801968097686768,2,200,2000,6.418072938919067,1.2,0.6,0.6,10,100,9.057298421859741
2,0.64,0.32,0.32,100,1000,92.70901117555525,927.0901117555524,3.4588406085968018,3,300,3000,7.366545677185059,0.2,0.1,0.1,10,100,11.178359270095825
3,2.32,1.16,1.16,100,1000,119.02800275611868,1190.280027561187,4.298979043960571,4,400,4000,8.02752423286438,6.2,3.1,3.1,10,100,12.761015176773071
4,2.56,1.28,1.28,100,1000,110.4993661368491,1104.993661368491,5.203961610794067,5,500,5000,8.589219093322754,2.0,1.0,1.0,10,100,14.318508863449097
5,3.58,1.79,1.79,100,1000,115.34639361015195,1153.4639361015195,6.070915460586548,6,600,6000,9.11594557762146,2.0,1.0,1.0,10,100,15.799898386001587
6,3.5,1.75,1.75,100,1000,106.04847130855947,1060.4847130855946,7.013880491256714,7,700,7000,9.621907711029053,5.6,2.8,2.8,10,100,17.344421863555908
7,2.56,1.28,1.28,100,1000,112.00951985207483,1120.0951985207482,7.906661748886108,8,800,8000,10.202733278274536,5.2,2.6,2.6,10,100,18.91357135772705
8,3.86,1.93,1.93,100,1000,116.54865372998128,1165.4865372998129,8.76467251777649,9,900,9000,10.827016115188599,0.4,0.2,0.2,10,100,20.49389886856079
9,3.24,1.62,1.62,100,1000,111.40252626893128,1114.0252626893127,9.662318229675293,10,1000,10000,11.237047672271729,4.2,2.1,2.1,10,100,21.91062617301941
10,3.54,1.77,1.77,100,1000,109.66785129343253,1096.6785129343255,10.574162483215332,11,1100,11000,11.612504482269287,3.2,1.6,1.6,10,100,23.291661739349365
11,3.06,1.53,1.53,100,1000,106.84407169191398,1068.44071691914,11.510105848312378,12,1200,12000,11.979943990707397,4.4,2.2,2.2,10,100,24.698132038116455
12,4.1,2.05,2.05,100,1000,110.96834959110836,1109.6834959110836,12.411263704299927,13,1300,13000,12.517528772354126,4.8,2.4,2.4,10,100,26.22322702407837
13,3.36,1.68,1.68,100,1000,118.73031743196502,1187.3031743196502,13.253508567810059,14,1400,14000,13.252612590789795,2.8,1.4,1.4,10,100,27.88623356819153
14,3.52,1.76,1.76,100,1000,114.58763734357353,1145.8763734357353,14.126203060150146,15,1500,15000,13.95522952079773,2.6,1.3,1.3,10,100,29.55530571937561
15,2.24,1.12,1.12,100,1000,114.0870420494793,1140.8704204947928,15.002726793289185,16,1600,16000,14.542174339294434,5.2,2.6,2.6,10,100,31.096618175506592
16,2.82,1.41,1.41,100,1000,109.9861439041045,1099.8614390410448,15.911932229995728,17,1700,17000,15.045847415924072,0.8,0.4,0.4,10,100,32.60967445373535
17,3.28,1.64,1.64,100,1000,109.18657472126121,1091.865747212612,16.82779574394226,18,1800,18000,15.4922616481781,4.0,2.0,2.0,10,100,34.077484369277954
18,2.24,1.12,1.12,100,1000,110.91778742192486,1109.1778742192485,17.7293643951416,19,1900,19000,15.94504189491272,2.8,1.4,1.4,10,100,35.513015270233154
19,3.58,1.79,1.79,100,1000,109.88592498431998,1098.8592498432,18.63939905166626,20,2000,20000,16.384358167648315,5.2,2.6,2.6,10,100,36.95435929298401
