,sampling/learner/mean_reward,sampling/learner/learner/mean_reward,sampling/learner/partner/mean_reward,sampling/learner/episodes,sampling/learner/samples,sampling/partner/mean_reward,sampling/partner/response/mean_reward,sampling/partner/partner/mean_reward,sampling/partner/episodes,sampling/partner/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/learner/mean_reward,eval/learner/learner/mean_reward,eval/learner/partner/mean_reward,eval/learner/episodes,eval/learner/samples,eval/partner/mean_reward,eval/partner/response/mean_reward,eval/partner/partner/mean_reward,eval/partner/episodes,eval/partner/samples,total_time_s
0,0.06,0.03,0.03,100,1000,0.0,0.0,0.0,100,1000,177.38189512093467,1773.8189512093468,1.1275107860565186,1,200,2000,2.2692434787750244,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,3.4865007400512695
1,0.08,0.04,0.04,100,1000,0.04,0.02,0.02,100,1000,203.63882121380138,2036.3882121380138,2.1096417903900146,2,400,4000,3.560028553009033,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,5.864434480667114
2,0.04,0.02,0.02,100,1000,0.06,0.03,0.03,100,1000,208.58202599825796,2085.8202599825795,3.0684971809387207,3,600,6000,4.08211874961853,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,7.445960760116577
3,0.0,0.0,0.0,100,1000,0.06,0.03,0.03,100,1000,191.2860776038891,1912.8607760388911,4.114051580429077,4,800,8000,4.569566011428833,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,9.074678659439087
4,0.0,0.0,0.0,100,1000,0.06,0.03,0.03,100,1000,223.0652657935275,2230.652657935275,5.010650157928467,5,1000,10000,4.93608021736145,2.0,1.0,1.0,10,100,0.0,0.0,0.0,10,100,10.449774026870728
5,1.96,0.98,0.98,100,1000,0.02,0.01,0.01,100,1000,204.35850380854447,2043.5850380854447,5.9893224239349365,6,1200,12000,5.425255298614502,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,12.030380964279175
6,0.0,0.0,0.0,100,1000,0.16,0.08,0.08,100,1000,223.1733330921207,2231.733330921207,6.885486841201782,7,1400,14000,5.653996229171753,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,13.24339747428894
7,0.02,0.01,0.01,100,1000,0.08,0.04,0.04,100,1000,223.74078249720677,2237.407824972068,7.779378414154053,8,1600,16000,5.917868375778198,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,14.486021995544434
8,0.06,0.03,0.03,100,1000,0.08,0.04,0.04,100,1000,235.05573622762327,2350.5573622762327,8.630240440368652,9,1800,18000,6.205138444900513,0.0,0.0,0.0,10,100,2.0,1.0,1.0,10,100,15.73395323753357
9,0.06,0.03,0.03,100,1000,2.08,1.04,1.04,100,1000,204.22407415026618,2042.2407415026619,9.609556913375854,10,2000,20000,6.715412855148315,4.0,2.0,2.0,10,100,0.0,0.0,0.0,10,100,17.316368579864502
10,3.76,1.88,1.88,100,1000,0.08,0.04,0.04,100,1000,258.0933062131429,2580.9330621314293,10.384470462799072,11,2200,22000,7.150822877883911,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,18.632452487945557
