,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_episodes,total_samples,learning/total_time_s,total_iterations,total_time_s
0,185.30141437819734,1482.4113150255787,1.0793225765228271,200,1600,2.9534404277801514,1,4.033235311508179
1,174.21877742090578,1393.7502193672462,2.227304458618164,400,3200,5.689257860183716,2,7.917948246002197
2,181.36848473160146,1450.9478778528116,3.3300318717956543,600,4800,7.957501411437988,3,11.289523839950562
3,186.93222727154216,1495.4578181723373,4.399938344955444,800,6400,10.484341859817505,4,14.886862754821777
4,178.99443062110706,1431.9554449688565,5.51729154586792,1000,8000,13.158973693847656,5,18.67972683906555
5,184.84732030476002,1478.7785624380801,6.5992655754089355,1200,9600,15.836788177490234,6,22.440274715423584
6,158.49458440509702,1267.9566752407761,7.861138343811035,1400,11200,18.598092555999756,7,26.463984966278076
7,170.74892852025064,1365.9914281620051,9.032448768615723,1600,12800,21.11420202255249,8,30.15199375152588
8,187.46104342175187,1499.688347374015,10.099337100982666,1800,14400,23.593947410583496,9,33.699520111083984
9,218.8908299791902,1751.1266398335215,11.013034582138062,2000,16000,25.790509939193726,10,36.810341596603394
10,218.3647932335769,1746.9183458686152,11.928933143615723,2200,17600,28.188395261764526,11,40.1247181892395
11,215.27930902095562,1722.234472167645,12.857958793640137,2400,19200,30.242221355438232,12,43.10818672180176
12,152.69783020241735,1221.5826416193388,14.16773509979248,2600,20800,32.49677872657776,13,46.67339873313904
13,180.20407900220405,1441.6326320176324,15.277587890625,2800,22400,34.84596872329712,14,50.13316011428833
14,211.83460522527892,1694.6768418022314,16.221720695495605,3000,24000,37.09720706939697,15,53.329474210739136
15,191.82919017955126,1534.63352143641,17.264314889907837,3200,25600,39.416351556777954,16,56.69217586517334
16,209.47623997924367,1675.8099198339494,18.219077110290527,3400,27200,41.70382237434387,17,59.934972524642944
17,214.18579296363345,1713.4863437090676,19.152845859527588,3600,28800,43.764671087265015,18,62.930394411087036
18,175.39877957392142,1403.1902365913713,20.293104648590088,3800,30400,46.256253719329834,19,66.56321144104004
19,162.06425687293523,1296.5140549834819,21.527183055877686,4000,32000,48.40841627120972,20,69.99378657341003
20,222.9243896498616,1783.3951171988929,23.321513414382935,4400,35200,49.8885064125061,21,73.26939296722412
21,180.5603076793268,1444.4824614346144,25.536839723587036,4800,38400,51.43734669685364,22,77.03494906425476
22,211.58337541321094,1692.6670033056876,27.427347421646118,5200,41600,53.1105592250824,23,80.59998726844788
23,187.8800821568629,1503.0406572549032,29.55636501312256,5600,44800,54.60943603515625,24,84.22935318946838
24,178.86600180302966,1430.9280144242373,31.792675971984863,6000,48000,56.02231407165527,25,87.87966465950012
25,202.03693771003347,1616.2955016802678,33.77251195907593,6400,51200,57.44779944419861,26,91.28625774383545
26,212.26232132308687,1698.098570584695,35.65697264671326,6800,54400,58.96258187294006,27,94.68682384490967
27,226.125098390175,1809.0007871214,37.425904989242554,7200,57600,60.46386766433716,28,97.9583032131195
28,217.34318509571165,1738.7454807656932,39.26631236076355,7600,60800,61.99757957458496,29,101.3336591720581
29,224.87717832301448,1799.0174265841158,41.045061111450195,8000,64000,63.47211217880249,30,104.58812808990479
30,212.85864322853826,1702.869145828306,42.92424249649048,8400,67200,65.04397892951965,31,108.04044914245605
31,217.1002166574554,1736.8017332596432,44.76670956611633,8800,70400,66.80523443222046,32,111.6455671787262
32,171.1301790514551,1369.0414324116407,47.104111433029175,9200,73600,68.26622462272644,33,115.4456045627594
33,220.2763206594786,1762.210565275829,48.92001247406006,9600,76800,69.76054954528809,34,118.75719785690308
34,215.7716957273716,1726.1735658189727,50.773823738098145,10000,80000,71.07184672355652,35,121.92376327514648
35,203.43333130432106,1627.4666504345685,52.74006986618042,10400,83200,72.5578260421753,36,125.3772783279419
36,194.02258089846435,1552.1806471877148,54.80168557167053,10800,86400,73.96701788902283,37,128.84937405586243
37,212.82602479796566,1702.6081983837253,56.68115496635437,11200,89600,75.81531548500061,38,132.5783772468567
38,183.63372499340264,1469.069799947221,58.85940408706665,11600,92800,77.42027950286865,39,136.36281895637512
39,192.745854931804,1541.966839454432,60.93467569351196,12000,96000,78.96999907493591,40,140.0314235687256
40,185.6443864181806,1485.1550913454448,63.089332818984985,12400,99200,80.62931632995605,41,143.8467423915863
41,188.71191742539833,1509.6953394031866,65.20896577835083,12800,102400,82.18509817123413,42,147.52373838424683
42,189.04744616268036,1512.3795693014429,67.32483673095703,13200,105600,83.66836214065552,43,151.12418055534363
