,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,216.94634717072088,1735.570777365767,0.46094346046447754,1,100,800,3.248445749282837,0.0,0.0,0.0,10,80,3.7787749767303467
1,189.80760858842066,1518.4608687073653,0.9877927303314209,2,200,1600,4.75189733505249,0.0,0.0,0.0,10,80,5.879897832870483
2,192.86603725346296,1542.9282980277037,1.5062873363494873,3,300,2400,6.107271194458008,2.0,1.0,1.0,10,80,7.820698022842407
3,156.1031382123504,1248.825105698803,2.1468894481658936,4,400,3200,7.491924047470093,2.0,1.0,1.0,10,80,9.915043354034424
4,182.7257004195329,1461.8056033562632,2.694157838821411,5,500,4000,9.032512426376343,6.0,3.0,3.0,10,80,12.072128534317017
5,167.95193575202896,1343.6154860162317,3.2895662784576416,6,600,4800,10.193533897399902,8.0,4.0,4.0,10,80,13.896049976348877
6,171.37017974587243,1370.9614379669795,3.873098373413086,7,700,5600,11.478013038635254,14.0,7.0,7.0,10,80,15.81934380531311
7,189.55669815622696,1516.4535852498157,4.400645017623901,8,800,6400,12.600289821624756,4.0,2.0,2.0,10,80,17.538719177246094
8,191.12704379244397,1529.0163503395518,4.92385721206665,9,900,7200,13.89874792098999,10.0,5.0,5.0,10,80,19.421565055847168
9,178.82482150790327,1430.5985720632261,5.483063697814941,10,1000,8000,15.117510080337524,4.0,2.0,2.0,10,80,21.261515140533447
10,189.13486764675378,1513.0789411740302,6.011786937713623,11,1100,8800,16.320075511932373,0.0,0.0,0.0,10,80,23.064311981201172
11,173.03105835022677,1384.2484668018142,6.589717864990234,12,1200,9600,17.590967893600464,12.0,6.0,6.0,10,80,24.989593744277954
12,166.61975115312453,1332.9580092249962,7.189886808395386,13,1300,10400,18.99930763244629,10.0,5.0,5.0,10,80,27.07220435142517
13,179.8597418680901,1438.877934944721,7.745875597000122,14,1400,11200,20.27654218673706,8.0,4.0,4.0,10,80,28.959845781326294
14,163.94707793527647,1311.5766234822117,8.355828523635864,15,1500,12000,21.67848515510559,10.0,5.0,5.0,10,80,31.03869915008545
15,171.76022634342266,1374.0818107473813,8.938035488128662,16,1600,12800,22.998176336288452,12.0,6.0,6.0,10,80,33.00803852081299
16,175.35104247711175,1402.808339816894,9.508320093154907,17,1700,13600,24.387260675430298,12.0,6.0,6.0,10,80,35.02164912223816
17,150.68805271184706,1205.5044216947765,10.171942710876465,18,1800,14400,25.720648765563965,12.0,6.0,6.0,10,80,37.076021909713745
18,159.36974101824336,1274.9579281459469,10.79941439628601,19,1900,15200,27.030997276306152,14.0,7.0,7.0,10,80,39.084601640701294
19,182.06759800617004,1456.5407840493604,11.348660945892334,20,2000,16000,28.35956621170044,10.0,5.0,5.0,10,80,41.051891565322876
20,189.3307615587103,1514.6460924696823,12.4050133228302,21,2200,17600,29.232490301132202,8.0,4.0,4.0,10,80,43.042311668395996
21,189.05605258929197,1512.4484207143357,13.462900638580322,22,2400,19200,30.02544140815735,12.0,6.0,6.0,10,80,44.95915484428406
22,199.0600150446951,1592.4801203575607,14.467622756958008,23,2600,20800,30.79554271697998,12.0,6.0,6.0,10,80,46.79757881164551
23,179.08759477045763,1432.700758163661,15.584394693374634,24,2800,22400,31.589861154556274,14.0,7.0,7.0,10,80,48.76510310173035
24,197.81401642293855,1582.5121313835084,16.59544539451599,25,3000,24000,32.3871967792511,12.0,6.0,6.0,10,80,50.65266823768616
