,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,150.92234431549048,1207.3787545239238,0.6625924110412598,1,100,800,1.4995229244232178,12.0,6.0,6.0,10,80,2.2250418663024902
1,156.18271531935636,1249.461722554851,1.302868127822876,2,200,1600,3.4497251510620117,12.0,6.0,6.0,10,80,4.912219524383545
2,131.74923222527298,1053.9938578021838,2.0618858337402344,3,300,2400,5.543121337890625,8.0,4.0,4.0,10,80,7.8466477394104
3,175.36900500145921,1402.9520400116737,2.6321120262145996,4,400,3200,7.257907390594482,4.0,2.0,2.0,10,80,10.193217039108276
4,158.11297510560834,1264.9038008448667,3.264571189880371,5,500,4000,8.710008382797241,0.0,0.0,0.0,10,80,12.343404293060303
5,142.7371488874694,1141.8971910997552,3.9651596546173096,6,600,4800,10.048389673233032,4.0,2.0,2.0,10,80,14.462886095046997
6,159.89027305556223,1279.1221844444979,4.590588569641113,7,700,5600,11.38225793838501,4.0,2.0,2.0,10,80,16.476654052734375
7,154.43337846211853,1235.4670276969482,5.238116979598999,8,800,6400,12.608855962753296,8.0,4.0,4.0,10,80,18.40520715713501
8,164.99639268655554,1319.9711414924443,5.844190835952759,9,900,7200,13.932907104492188,8.0,4.0,4.0,10,80,20.397830963134766
9,185.4183502234231,1483.3468017873847,6.383511781692505,10,1000,8000,15.3173348903656,6.0,3.0,3.0,10,80,22.386526823043823
10,162.14633090298986,1297.1706472239189,7.000238656997681,11,1100,8800,16.660338163375854,4.0,2.0,2.0,10,80,24.410786390304565
11,158.20684743839658,1265.6547795071726,7.632322549819946,12,1200,9600,18.103532552719116,8.0,4.0,4.0,10,80,26.54861068725586
12,163.47460870663306,1307.7968696530645,8.244038343429565,13,1300,10400,19.73474907875061,0.0,0.0,0.0,10,80,28.877767324447632
13,145.28253916351863,1162.260313308149,8.932352304458618,14,1400,11200,21.50995922088623,6.0,3.0,3.0,10,80,31.422497034072876
14,131.44291547711197,1051.5433238168957,9.693138837814331,15,1500,12000,23.246112823486328,0.0,0.0,0.0,10,80,33.9934356212616
15,144.64638522327348,1157.1710817861879,10.384479999542236,16,1600,12800,24.532529830932617,2.0,1.0,1.0,10,80,36.04895234107971
