,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,0.34,0.17,0.17,100,800,209.6838522640865,1677.470818112692,0.47690844535827637,1,100,800,3.247870922088623,0.0,0.0,0.0,10,80,3.7736854553222656
1,0.4,0.2,0.2,100,800,225.80189123640994,1806.4151298912795,0.9197745323181152,2,200,1600,4.991694688796997,8.0,4.0,4.0,10,80,6.017611980438232
2,5.7,2.85,2.85,100,800,181.9454957872303,1455.5639662978424,1.4693896770477295,3,300,2400,6.331642150878906,8.0,4.0,4.0,10,80,7.9753172397613525
3,7.88,3.94,3.94,100,800,191.37296270322778,1530.9837016258223,1.991929531097412,4,400,3200,7.742828130722046,10.0,5.0,5.0,10,80,9.96854543685913
4,8.86,4.43,4.43,100,800,192.23436776709886,1537.8749421367909,2.5121278762817383,5,500,4000,9.399693012237549,12.0,6.0,6.0,10,80,12.196175575256348
5,10.48,5.24,5.24,100,800,186.754150681955,1494.03320545564,3.047591209411621,6,600,4800,10.676120042800903,10.0,5.0,5.0,10,80,14.063691854476929
6,8.16,4.08,4.08,100,800,170.18849627004207,1361.5079701603365,3.6351749897003174,7,700,5600,11.879778861999512,14.0,7.0,7.0,10,80,15.911207914352417
7,10.8,5.4,5.4,100,800,145.16789315531423,1161.3431452425139,4.324032545089722,8,800,6400,13.904521703720093,12.0,6.0,6.0,10,80,18.687053203582764
8,9.82,4.91,4.91,100,800,155.42979114477566,1243.4383291582053,4.96740984916687,9,900,7200,15.512281894683838,14.0,7.0,7.0,10,80,21.006863117218018
9,10.48,5.24,5.24,100,800,152.87587371487325,1223.006989718986,5.621535301208496,10,1000,8000,16.67934823036194,14.0,7.0,7.0,10,80,22.881930589675903
10,10.76,5.38,5.38,100,800,187.96493188893754,1503.7194551115003,6.153549432754517,11,1100,8800,17.843465089797974,12.0,6.0,6.0,10,80,24.63991141319275
11,9.28,4.64,4.64,100,800,158.86720815474376,1270.9376652379501,6.783005952835083,12,1200,9600,19.016279935836792,10.0,5.0,5.0,10,80,26.514466762542725
12,8.16,4.08,4.08,100,800,190.7257785813286,1525.8062286506288,7.307318925857544,13,1300,10400,20.261026620864868,12.0,6.0,6.0,10,80,28.334911346435547
13,9.38,4.69,4.69,100,800,186.33591255552687,1490.687300444215,7.843984127044678,14,1400,11200,21.75328302383423,12.0,6.0,6.0,10,80,30.421075344085693
14,8.98,4.49,4.49,100,800,198.43196178876713,1587.455694310137,8.347935199737549,15,1500,12000,23.28477382659912,12.0,6.0,6.0,10,80,32.507545471191406
15,9.24,4.62,4.62,100,800,177.68965958416686,1421.517276673335,8.910714149475098,16,1600,12800,24.686267375946045,16.0,8.0,8.0,10,80,34.52755641937256
16,12.26,6.13,6.13,100,800,166.196089246458,1329.568713971664,9.512413024902344,17,1700,13600,26.069230794906616,16.0,8.0,8.0,10,80,36.576969623565674
17,11.7,5.85,5.85,100,800,162.59777837908666,1300.7822270326933,10.127427577972412,18,1800,14400,27.500295639038086,16.0,8.0,8.0,10,80,38.68835377693176
18,12.5,6.25,6.25,100,800,185.633191676942,1485.065533415536,10.66612434387207,19,1900,15200,28.73839497566223,14.0,7.0,7.0,10,80,40.52764105796814
19,10.52,5.26,5.26,100,800,180.39070638013834,1443.1256510411067,11.220476627349854,20,2000,16000,30.118753910064697,14.0,7.0,7.0,10,80,42.53428673744202
20,10.94,5.47,5.47,100,800,166.6323944221525,1333.05915537722,11.820600032806396,21,2100,16800,31.536534547805786,14.0,7.0,7.0,10,80,44.612722635269165
21,11.18,5.59,5.59,100,800,176.24562674436487,1409.965013954919,12.38798999786377,22,2200,17600,32.97315263748169,16.0,8.0,8.0,10,80,46.685033321380615
22,12.2,6.1,6.1,100,800,177.44684595650202,1419.5747676520161,12.951539039611816,23,2300,18400,34.40539884567261,14.0,7.0,7.0,10,80,48.745851039886475
23,11.28,5.64,5.64,100,800,157.33180989363055,1258.6544791490444,13.587138414382935,24,2400,19200,35.78102254867554,14.0,7.0,7.0,10,80,50.822715759277344
24,11.44,5.72,5.72,100,800,172.604605665745,1380.83684532596,14.166497230529785,25,2500,20000,37.242290019989014,16.0,8.0,8.0,10,80,52.934924840927124
25,12.52,6.26,6.26,100,800,187.3847470757321,1499.0779766058567,14.700158596038818,26,2600,20800,38.41647529602051,16.0,8.0,8.0,10,80,54.706252098083496
26,11.84,5.92,5.92,100,800,171.33440794241227,1370.6752635392982,15.283812522888184,27,2700,21600,39.70309329032898,16.0,8.0,8.0,10,80,56.650046586990356
27,11.9,5.95,5.95,100,800,204.1856484542115,1633.485187633692,15.773562908172607,28,2800,22400,40.9953453540802,16.0,8.0,8.0,10,80,58.49929690361023
28,12.74,6.37,6.37,100,800,165.71582546497027,1325.7266037197621,16.377005577087402,29,2900,23200,42.14190196990967,16.0,8.0,8.0,10,80,60.31361222267151
29,12.92,6.46,6.46,100,800,200.65799954551434,1605.2639963641147,16.87536597251892,30,3000,24000,43.37997531890869,14.0,7.0,7.0,10,80,62.12583088874817
30,11.68,5.84,5.84,100,800,149.3736838600149,1194.9894708801191,17.544827938079834,31,3100,24800,44.82292032241821,16.0,8.0,8.0,10,80,64.30472612380981
31,12.46,6.23,6.23,100,800,173.17451207881058,1385.3960966304846,18.12228012084961,32,3200,25600,46.20219421386719,14.0,7.0,7.0,10,80,66.33573794364929
32,11.64,5.82,5.82,100,800,199.2180048865195,1593.744039092156,18.624242782592773,33,3300,26400,47.56019997596741,16.0,8.0,8.0,10,80,68.27072548866272
33,12.56,6.28,6.28,100,800,203.01902354637008,1624.1521883709606,19.116807460784912,34,3400,27200,49.001298904418945,16.0,8.0,8.0,10,80,70.26306986808777
34,12.46,6.23,6.23,100,800,222.17075927736704,1777.3660742189363,19.566911697387695,35,3500,28000,50.36676621437073,14.0,7.0,7.0,10,80,72.1443030834198
35,11.32,5.66,5.66,100,800,183.3378355813976,1466.7026846511808,20.11235284805298,36,3600,28800,51.8491575717926,14.0,7.0,7.0,10,80,74.22467064857483
36,11.92,5.96,5.96,100,800,207.1643849283769,1657.3150794270152,20.59506130218506,37,3700,29600,53.10878324508667,16.0,8.0,8.0,10,80,76.03087377548218
37,12.9,6.45,6.45,100,800,167.61125319693096,1340.8900255754477,21.19167995452881,38,3800,30400,54.55343055725098,16.0,8.0,8.0,10,80,78.14724636077881
38,12.06,6.03,6.03,100,800,189.4666183021245,1515.732946416996,21.71947741508484,39,3900,31200,56.02879595756531,16.0,8.0,8.0,10,80,80.21809935569763
39,12.86,6.43,6.43,100,800,191.88803408167598,1535.1042726534079,22.240614652633667,40,4000,32000,57.72340941429138,16.0,8.0,8.0,10,80,82.49689602851868
40,12.16,6.08,6.08,100,800,221.67266700350297,1773.3813360280237,22.691730260849,41,4100,32800,59.105175256729126,12.0,6.0,6.0,10,80,84.40849709510803
41,9.72,4.86,4.86,100,800,193.1675056301898,1545.3400450415184,23.209415674209595,42,4200,33600,60.488969802856445,14.0,7.0,7.0,10,80,86.370272397995
42,11.24,5.62,5.62,100,800,180.0684588347573,1440.5476706780585,23.76476001739502,43,4300,34400,61.700838565826416,16.0,8.0,8.0,10,80,88.20149207115173
43,12.28,6.14,6.14,100,800,186.15471468997768,1489.2377175198214,24.301947593688965,44,4400,35200,63.13017129898071,16.0,8.0,8.0,10,80,90.23324966430664
44,12.36,6.18,6.18,100,800,179.01608893987816,1432.1287115190253,24.860556602478027,45,4500,36000,64.31350994110107,14.0,7.0,7.0,10,80,92.04041647911072
45,11.54,5.77,5.77,100,800,170.37009957438997,1362.9607965951197,25.447514057159424,46,4600,36800,65.6095232963562,16.0,8.0,8.0,10,80,94.00053191184998
46,12.38,6.19,6.19,100,800,155.00410025237156,1240.0328020189725,26.092658281326294,47,4700,37600,66.9166796207428,16.0,8.0,8.0,10,80,96.02029633522034
47,12.26,6.13,6.13,100,800,191.7970409425451,1534.3763275403608,26.61404275894165,48,4800,38400,68.58993768692017,16.0,8.0,8.0,10,80,98.28421926498413
48,12.6,6.3,6.3,100,800,199.79869144676826,1598.389531574146,27.114546537399292,49,4900,39200,69.95329689979553,16.0,8.0,8.0,10,80,100.21066355705261
49,12.42,6.21,6.21,100,800,185.288439705221,1482.307517641768,27.654245615005493,50,5000,40000,71.34958529472351,16.0,8.0,8.0,10,80,102.21201157569885
50,12.32,6.16,6.16,100,800,194.74233797372145,1557.9387037897716,28.167744636535645,51,5100,40800,72.63260579109192,14.0,7.0,7.0,10,80,104.07467031478882
51,11.28,5.64,5.64,100,800,182.65647046527428,1461.2517637221943,28.71522045135498,52,5200,41600,73.78756189346313,16.0,8.0,8.0,10,80,105.84038496017456
52,11.82,5.91,5.91,100,800,178.01401854284398,1424.1121483427519,29.276973962783813,53,5300,42400,74.99338364601135,16.0,8.0,8.0,10,80,107.67314457893372
53,12.46,6.23,6.23,100,800,169.14439464487495,1353.1551571589996,29.868184804916382,54,5400,43200,76.17725443840027,10.0,5.0,5.0,10,80,109.51100325584412
54,8.68,4.34,4.34,100,800,164.60405860484428,1316.8324688387543,30.475703239440918,55,5500,44000,77.30396223068237,14.0,7.0,7.0,10,80,111.3090353012085
55,11.66,5.83,5.83,100,800,174.95467942733816,1399.6374354187053,31.047279834747314,56,5600,44800,78.4339451789856,16.0,8.0,8.0,10,80,113.08223009109497
56,12.76,6.38,6.38,100,800,166.64444372045494,1333.1555497636396,31.64735984802246,57,5700,45600,79.61032366752625,14.0,7.0,7.0,10,80,114.92450785636902
57,11.82,5.91,5.91,100,800,168.41956480711858,1347.3565184569486,32.2411150932312,58,5800,46400,80.74685549736023,14.0,7.0,7.0,10,80,116.70744466781616
58,11.2,5.6,5.6,100,800,176.53775378093397,1412.3020302474717,32.80756616592407,59,5900,47200,81.95902633666992,14.0,7.0,7.0,10,80,118.54730486869812
59,11.46,5.73,5.73,100,800,174.88844060353404,1399.1075248282723,33.37935924530029,60,6000,48000,83.10039830207825,16.0,8.0,8.0,10,80,120.33636808395386
