,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,1.28,0.64,0.64,100,800,228.92523191054116,1831.4018552843293,0.43682384490966797,1,100,800,2.902162790298462,0.0,0.0,0.0,10,80,3.388700485229492
1,7.46,3.73,3.73,100,800,190.67774341927606,1525.4219473542084,0.9612689018249512,2,200,1600,4.4530768394470215,12.0,6.0,6.0,10,80,5.515317916870117
2,7.38,3.69,3.69,100,800,186.4198908140412,1491.3591265123296,1.497692346572876,3,300,2400,5.740141868591309,12.0,6.0,6.0,10,80,7.396105766296387
3,7.1,3.55,3.55,100,800,181.36362240876156,1450.9089792700925,2.0490708351135254,4,400,3200,6.860069274902344,12.0,6.0,6.0,10,80,9.11606478691101
4,5.64,2.82,2.82,100,800,195.75603303995393,1566.0482643196315,2.559910774230957,5,500,4000,8.190255165100098,10.0,5.0,5.0,10,80,11.017062187194824
5,5.84,2.92,2.92,100,800,191.14577067086665,1529.1661653669332,3.083071708679199,6,600,4800,9.376898765563965,14.0,7.0,7.0,10,80,12.777801990509033
6,6.06,3.03,3.03,100,800,219.43301029387453,1755.4640823509963,3.5387916564941406,7,700,5600,10.697349786758423,2.0,1.0,1.0,10,80,14.621571779251099
7,6.78,3.39,3.39,100,800,153.4001603379972,1227.2012827039775,4.190681457519531,8,800,6400,12.1922447681427,16.0,8.0,8.0,10,80,16.831780195236206
8,6.08,3.04,3.04,100,800,208.73425337625827,1669.8740270100661,4.669759511947632,9,900,7200,13.513251543045044,12.0,6.0,6.0,10,80,18.692846298217773
9,6.92,3.46,3.46,100,800,182.49767869683302,1459.9814295746642,5.217711687088013,10,1000,8000,14.816193580627441,6.0,3.0,3.0,10,80,20.615373611450195
10,4.7,2.35,2.35,100,800,197.951814450379,1583.614515603032,5.7228851318359375,11,1100,8800,16.10546040534973,10.0,5.0,5.0,10,80,22.472368240356445
11,5.48,2.74,2.74,100,800,172.96098969072165,1383.6879175257732,6.301050186157227,12,1200,9600,17.203859090805054,12.0,6.0,6.0,10,80,24.210399627685547
12,6.36,3.18,3.18,100,800,184.1672437026964,1473.3379496215712,6.844034910202026,13,1300,10400,18.319969654083252,12.0,6.0,6.0,10,80,25.94078230857849
13,6.22,3.11,3.11,100,800,178.78335534218292,1430.2668427374633,7.403371095657349,14,1400,11200,19.42078185081482,10.0,5.0,5.0,10,80,27.65950894355774
14,7.44,3.72,3.72,100,800,170.94956538183916,1367.5965230547133,7.988338947296143,15,1500,12000,20.544649362564087,16.0,8.0,8.0,10,80,29.434263229370117
15,5.62,2.81,2.81,100,800,166.26348513587706,1330.1078810870165,8.589793920516968,16,1600,12800,21.706404209136963,6.0,3.0,3.0,10,80,31.260805130004883
16,4.62,2.31,2.31,100,800,156.50177833432087,1252.014226674567,9.228764295578003,17,1700,13600,22.737955808639526,8.0,4.0,4.0,10,80,33.01040768623352
17,3.56,1.78,1.78,100,800,161.08389235582902,1288.6711388466322,9.84955883026123,18,1800,14400,23.808159828186035,12.0,6.0,6.0,10,80,34.757792711257935
18,5.52,2.76,2.76,100,800,158.8579419047785,1270.863535238228,10.479052066802979,19,1900,15200,24.948285579681396,12.0,6.0,6.0,10,80,36.592002153396606
19,4.72,2.36,2.36,100,800,162.1179401768635,1296.943521414908,11.095886945724487,20,2000,16000,26.44920778274536,6.0,3.0,3.0,10,80,38.786893367767334
20,4.38,2.19,2.19,100,800,161.74839111736358,1293.9871289389087,11.714131116867065,21,2100,16800,27.695650577545166,12.0,6.0,6.0,10,80,40.70404052734375
21,4.4,2.2,2.2,100,800,160.6958845832018,1285.5670766656144,12.336424589157104,22,2200,17600,28.909303426742554,0.0,0.0,0.0,10,80,42.60202360153198
22,4.24,2.12,2.12,100,800,160.2302503024633,1281.8420024197064,12.960526466369629,23,2300,18400,30.085877418518066,6.0,3.0,3.0,10,80,44.46472954750061
23,5.6,2.8,2.8,100,800,162.68033072057818,1301.4426457646255,13.575228929519653,24,2400,19200,31.4336838722229,8.0,4.0,4.0,10,80,46.496906757354736
24,4.94,2.47,2.47,100,800,169.554242914731,1356.433943317848,14.165010690689087,25,2500,20000,32.656275272369385,10.0,5.0,5.0,10,80,48.385191202163696
25,3.08,1.54,1.54,100,800,156.17626009915023,1249.4100807932018,14.805312871932983,26,2600,20800,34.27195453643799,12.0,6.0,6.0,10,80,50.72046995162964
26,3.92,1.96,1.96,100,800,169.6003843026286,1356.803074421029,15.394934177398682,27,2700,21600,35.61709952354431,4.0,2.0,2.0,10,80,52.72092628479004
27,3.64,1.82,1.82,100,800,190.93085016792867,1527.4468013434293,15.918684005737305,28,2800,22400,36.73318672180176,10.0,5.0,5.0,10,80,54.42448377609253
28,3.44,1.72,1.72,100,800,178.98942741617145,1431.9154193293716,16.477376222610474,29,2900,23200,37.93977403640747,4.0,2.0,2.0,10,80,56.25750494003296
29,2.96,1.48,1.48,100,800,166.9768825040099,1335.8150600320791,17.076261520385742,30,3000,24000,39.12022924423218,6.0,3.0,3.0,10,80,58.09938645362854
30,4.06,2.03,2.03,100,800,169.2967107395518,1354.3736859164144,17.666940450668335,31,3100,24800,40.26203465461731,8.0,4.0,4.0,10,80,59.893134355545044
31,3.92,1.96,1.96,100,800,167.27074920219152,1338.1659936175322,18.26477360725403,32,3200,25600,41.39889907836914,12.0,6.0,6.0,10,80,61.709009647369385
32,3.66,1.83,1.83,100,800,164.99191425133364,1319.9353140106691,18.870863914489746,33,3300,26400,42.64050078392029,6.0,3.0,3.0,10,80,63.626176595687866
33,4.04,2.02,2.02,100,800,170.0379496871715,1360.303597497372,19.458967924118042,34,3400,27200,43.90032196044922,2.0,1.0,1.0,10,80,65.5407886505127
34,3.02,1.51,1.51,100,800,163.80832612444078,1310.4666089955263,20.069437503814697,35,3500,28000,45.038625955581665,12.0,6.0,6.0,10,80,67.36429524421692
35,3.86,1.93,1.93,100,800,172.98995213219203,1383.9196170575362,20.64750576019287,36,3600,28800,46.261741161346436,4.0,2.0,2.0,10,80,69.23242020606995
36,3.72,1.86,1.86,100,800,174.9823424157077,1399.8587393256616,21.218991994857788,37,3700,29600,47.516027212142944,2.0,1.0,1.0,10,80,71.12170696258545
37,3.54,1.77,1.77,100,800,169.2997174909776,1354.3977399278208,21.8096604347229,38,3800,30400,48.63595175743103,0.0,0.0,0.0,10,80,72.89449501037598
38,3.74,1.87,1.87,100,800,162.3655181384056,1298.9241451072448,22.425554752349854,39,3900,31200,49.886523962020874,6.0,3.0,3.0,10,80,74.84227299690247
39,4.52,2.26,2.26,100,800,171.51958857911185,1372.1567086328948,23.008578538894653,40,4000,32000,51.00908899307251,12.0,6.0,6.0,10,80,76.61669111251831
40,3.72,1.86,1.86,100,800,173.38669872338104,1387.0935897870484,23.58532404899597,41,4100,32800,52.15534162521362,0.0,0.0,0.0,10,80,78.40407752990723
41,4.28,2.14,2.14,100,800,161.50244142110307,1292.0195313688246,24.204509735107422,42,4200,33600,53.575202226638794,2.0,1.0,1.0,10,80,80.50372552871704
42,4.0,2.0,2.0,100,800,194.22183304523224,1553.774664361858,24.719384908676147,43,4300,34400,54.75568628311157,10.0,5.0,5.0,10,80,82.27377128601074
43,3.34,1.67,1.67,100,800,178.39668139870895,1427.1734511896716,25.2799334526062,44,4400,35200,56.098079442977905,4.0,2.0,2.0,10,80,84.23748230934143
44,3.68,1.84,1.84,100,800,169.67976782175936,1357.4381425740748,25.86927890777588,45,4500,36000,57.31079840660095,0.0,0.0,0.0,10,80,86.1035373210907
45,3.0,1.5,1.5,100,800,155.1075078944147,1240.8600631553177,26.51399302482605,46,4600,36800,58.537572383880615,2.0,1.0,1.0,10,80,88.03887629508972
46,3.72,1.86,1.86,100,800,154.81838211383015,1238.5470569106412,27.159911155700684,47,4700,37600,59.787468910217285,2.0,1.0,1.0,10,80,90.000892162323
47,2.72,1.36,1.36,100,800,177.1780463839965,1417.424371071972,27.72431516647339,48,4800,38400,60.9772834777832,0.0,0.0,0.0,10,80,91.8254907131195
48,4.46,2.23,2.23,100,800,171.50443961489944,1372.0355169191955,28.307390451431274,49,4900,39200,62.11384034156799,4.0,2.0,2.0,10,80,93.61425495147705
49,2.3,1.15,1.15,100,800,180.12258957486162,1440.980716598893,28.862567901611328,50,5000,40000,63.25060534477234,8.0,4.0,4.0,10,80,95.37088537216187
50,3.76,1.88,1.88,100,800,171.88333434417777,1375.0666747534221,29.444357872009277,51,5100,40800,64.35900974273682,10.0,5.0,5.0,10,80,97.12585854530334
51,4.04,2.02,2.02,100,800,181.68588293848902,1453.4870635079121,29.994758367538452,52,5200,41600,65.45421099662781,6.0,3.0,3.0,10,80,98.82375001907349
52,3.6,1.8,1.8,100,800,165.7798836700073,1326.2390693600585,30.597967863082886,53,5300,42400,66.63464283943176,8.0,4.0,4.0,10,80,100.67160892486572
53,4.4,2.2,2.2,100,800,180.14734589691972,1441.1787671753577,31.153069019317627,54,5400,43200,67.75600838661194,2.0,1.0,1.0,10,80,102.39989519119263
54,3.14,1.57,1.57,100,800,170.6677083396912,1365.3416667175295,31.73900294303894,55,5500,44000,68.88096690177917,0.0,0.0,0.0,10,80,104.1749620437622
55,5.44,2.72,2.72,100,800,168.21301266358873,1345.7041013087098,32.33348727226257,56,5600,44800,70.12582278251648,0.0,0.0,0.0,10,80,106.06928420066833
56,3.58,1.79,1.79,100,800,172.12294613401883,1376.9835690721507,32.914467334747314,57,5700,45600,71.32387518882751,0.0,0.0,0.0,10,80,107.92930603027344
57,3.88,1.94,1.94,100,800,168.16694872883582,1345.3355898306866,33.509114503860474,58,5800,46400,72.51142382621765,10.0,5.0,5.0,10,80,109.77618765830994
58,5.74,2.87,2.87,100,800,152.7429279578323,1221.9434236626585,34.163809299468994,59,5900,47200,73.70431327819824,0.0,0.0,0.0,10,80,111.6843113899231
59,2.88,1.44,1.44,100,800,171.33048865273085,1370.6439092218468,34.74747657775879,60,6000,48000,74.94033789634705,10.0,5.0,5.0,10,80,113.55620408058167
60,3.14,1.57,1.57,100,800,180.1858090546902,1441.4864724375216,35.30245923995972,61,6100,48800,76.1255533695221,4.0,2.0,2.0,10,80,115.3676598072052
61,2.88,1.44,1.44,100,800,167.24493706041076,1337.959496483286,35.90038466453552,62,6200,49600,77.29814505577087,10.0,5.0,5.0,10,80,117.19291806221008
62,3.16,1.58,1.58,100,800,169.7832768711947,1358.2662149695575,36.489370822906494,63,6300,50400,78.63082385063171,0.0,0.0,0.0,10,80,119.17642998695374
63,2.94,1.47,1.47,100,800,162.05530267642328,1296.4424214113862,37.106444120407104,64,6400,51200,79.81325125694275,8.0,4.0,4.0,10,80,121.03606867790222
64,3.6,1.8,1.8,100,800,170.16902474737168,1361.3521979789734,37.69409513473511,65,6500,52000,81.05601668357849,2.0,1.0,1.0,10,80,122.91841626167297
65,3.26,1.63,1.63,100,800,178.0565647337708,1424.4525178701665,38.255714416503906,66,6600,52800,82.2502031326294,2.0,1.0,1.0,10,80,124.726881980896
66,2.84,1.42,1.42,100,800,171.43784397997993,1371.5027518398394,38.83901619911194,67,6700,53600,83.42272114753723,4.0,2.0,2.0,10,80,126.55086064338684
67,1.7,0.85,0.85,100,800,178.52857825105752,1428.2286260084602,39.39915060997009,68,6800,54400,84.67525911331177,2.0,1.0,1.0,10,80,128.41700053215027
68,2.4,1.2,1.2,100,800,163.34346139976057,1306.7476911980846,40.01135754585266,69,6900,55200,85.92146801948547,2.0,1.0,1.0,10,80,130.3293297290802
69,2.8,1.4,1.4,100,800,153.47335450726695,1227.7868360581356,40.6629364490509,70,7000,56000,87.0546875,8.0,4.0,4.0,10,80,132.16752910614014
70,4.24,2.12,2.12,100,800,186.70111380464306,1493.6089104371445,41.19855189323425,71,7100,56800,88.29585981369019,10.0,5.0,5.0,10,80,133.99668097496033
