,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,12.52,6.26,6.26,100,1000,13.018656051861274,130.18656051861277,7.681284427642822,1,100,1000,27.04530382156372,20.0,10.0,10.0,10,100,35.68269968032837
1,18.32,9.16,9.16,100,1000,6.616934505568053,66.16934505568052,22.794022798538208,2,200,2000,56.94142436981201,20.0,10.0,10.0,10,100,84.05463600158691
2,18.38,9.19,9.19,100,1000,12.721430568892442,127.21430568892443,30.654773950576782,3,300,3000,82.70815420150757,18.0,9.0,9.0,10,100,118.10981631278992
3,17.28,8.64,8.64,100,1000,6.555753872448062,65.55753872448062,45.908549785614014,4,400,4000,113.77767944335938,18.0,9.0,9.0,10,100,165.09680652618408
4,17.1,8.55,8.55,100,1000,7.373983164240089,73.73983164240089,59.46974158287048,5,500,5000,149.66260957717896,18.0,9.0,9.0,10,100,217.9227511882782
5,17.14,8.57,8.57,100,1000,6.049973369930183,60.49973369930183,75.99873995780945,6,600,6000,172.022563457489,18.0,9.0,9.0,10,100,258.15072083473206
6,17.08,8.54,8.54,100,1000,7.945848477627806,79.45848477627806,88.58392834663391,7,700,7000,193.65386819839478,18.0,9.0,9.0,10,100,293.0983865261078
7,17.16,8.58,8.58,100,1000,7.296046615610335,72.96046615610335,102.28998112678528,8,800,8000,223.49780654907227,18.0,9.0,9.0,10,100,338.0965807437897
8,17.38,8.69,8.69,100,1000,7.590179692532778,75.90179692532779,115.46489977836609,9,900,9000,247.35430693626404,18.0,9.0,9.0,10,100,375.98471689224243
9,16.9,8.45,8.45,100,1000,6.862860661039638,68.62860661039637,130.03608298301697,10,1000,10000,273.58794379234314,18.0,9.0,9.0,10,100,420.4041886329651
10,17.44,8.72,8.72,100,1000,6.348459932716349,63.48459932716348,145.78793478012085,11,1100,11000,305.4198100566864,20.0,10.0,10.0,10,100,468.8869140148163
11,18.56,9.28,9.28,100,1000,7.5435798105414555,75.43579810541455,159.04424047470093,12,1200,12000,342.3221604824066,20.0,10.0,10.0,10,100,519.75141954422
12,18.12,9.06,9.06,100,1000,6.840426790819188,68.40426790819188,173.6632113456726,13,1300,13000,376.0566418170929,20.0,10.0,10.0,10,100,569.2375800609589
13,18.22,9.11,9.11,100,1000,8.815389200438677,88.15389200438678,185.00700998306274,14,1400,14000,403.9254126548767,20.0,10.0,10.0,10,100,610.227511882782
14,18.52,9.26,9.26,100,1000,4.276288969357635,42.76288969357635,208.39177203178406,15,1500,15000,435.81226873397827,20.0,10.0,10.0,10,100,667.1628370285034
15,18.1,9.05,9.05,100,1000,7.594643053927582,75.94643053927582,221.55894780158997,16,1600,16000,464.4403910636902,20.0,10.0,10.0,10,100,710.1999526023865
16,17.9,8.95,8.95,100,1000,7.985001773459531,79.8500177345953,234.08242654800415,17,1700,17000,498.87415885925293,20.0,10.0,10.0,10,100,757.6522333621979
17,18.3,9.15,9.15,100,1000,9.756467017390188,97.56467017390189,244.33203840255737,18,1800,18000,521.7222681045532,18.0,9.0,9.0,10,100,792.4140412807465
18,17.02,8.51,8.51,100,1000,9.247399572339871,92.47399572339872,255.14588928222656,19,1900,19000,542.6968047618866,18.0,9.0,9.0,10,100,825.0303568840027
19,16.58,8.29,8.29,100,1000,7.223907132984472,72.23907132984472,268.98881363868713,20,2000,20000,569.2102842330933,20.0,10.0,10.0,10,100,866.0592613220215
